date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:44	16350/16350	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Sep%202026%2016:54:45%20GMT	https://www.web-leb.com/en/fullscreen/4897	C:/My%20Web%20Sites/gnmath/www.web-leb.com/en/fullscreen/4897.html	(from )
09:54:44	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Sep%202026%2016:54:45%20GMT	https://www.web-leb.com/robots.txt		(from )
09:54:45	93734/93734	---M-Z	200	added ('OK')	text/css	etag:W/%2216e26-p4ONiiDb2g7p5MHLfx+DLOmvHBE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	C:/My%20Web%20Sites/gnmath/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:45	102217/102217	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2021:01:56%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/gnmath/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:45	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/gnmath/code.jquery.com/jquery-3.6.0.min.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:45	125849/125849	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Mar%202026%2010:09:01%20GMT	https://www.web-leb.com/css/styles.css	C:/My%20Web%20Sites/gnmath/www.web-leb.com/css/styles.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:46	207133/207133	---M-Z	200	added ('OK')	text/javascript	etag:11738709340369860698	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-2491596994831871	C:/My%20Web%20Sites/gnmath/pagead2.googlesyndication.com/pagead/js/f7bcf.txt	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:46	260/260	---M-Z	200	added ('OK')	image/gif	date:Fri,%2016%20Feb%202024%2022:06:04%20GMT	https://www.web-leb.com/assets/img/gb.gif	C:/My%20Web%20Sites/gnmath/www.web-leb.com/assets/img/gb.gif	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:46	366/366	---M-Z	200	added ('OK')	image/gif	date:Fri,%2016%20Feb%202024%2022:12:02%20GMT	https://www.web-leb.com/assets/img/fr.gif	C:/My%20Web%20Sites/gnmath/www.web-leb.com/assets/img/fr.gif	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:46	360/360	---M-Z	200	added ('OK')	image/gif	date:Fri,%2016%20Feb%202024%2022:11:57%20GMT	https://www.web-leb.com/assets/img/es.gif	C:/My%20Web%20Sites/gnmath/www.web-leb.com/assets/img/es.gif	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:47	66419/66419	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v3.0.6/css/line.css	C:/My%20Web%20Sites/gnmath/unicons.iconscout.com/release/v3.0.6/css/line.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:47	15893/15893	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Mar%202026%2019:33:04%20GMT	https://www.web-leb.com/css/dashboard.css	C:/My%20Web%20Sites/gnmath/www.web-leb.com/css/dashboard.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:47	6041/6041	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2008:10:42%20GMT	https://www.web-leb.com/css/codemirror.css	C:/My%20Web%20Sites/gnmath/www.web-leb.com/css/codemirror.css	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:47	1646/1646	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20May%202025%2014:10:31%20GMT	https://www.web-leb.com/css/dracula.css	C:/My%20Web%20Sites/gnmath/www.web-leb.com/css/dracula.css	(from https://www.web-leb.com/en/fullscreen/4897)
